MSHA ID,Year,Mine_Name,Mine_State,Mine_County,Mine_Status,Mine_Type,Company_Type,Operation_Type,Operating_Company,Operating_Company_Address,Union_Code,Coal_Supply_Region,Production_(short_tons),Average_Employees,Labor_Hours,log_production
103381,2016,Jesse Creek H.W.M.,Alabama,Bibb,Active,Surface,Independent Producer Operator,Mine only,"Jesse Creek Mining, Llc","1615 Kent Dairy Rd, Alabaster, AL 35007",,Appalachia Southern,37786,6,14235,10.539693942633264
103246,2016,Bear Creek,Alabama,Franklin,Active,Surface,Independent Producer Operator,Mine only,"Yellowhammer Energy Solutions,","912 Edenton Street, Birmingham, AL 35242",,Appalachia Southern,43155,21,13278,10.672553564653757
103451,2016,Knight Mine,Alabama,Franklin,Temporarily closed,Surface,Independent Producer Operator,Mine only,"Birmingham Coal & Coke Co., In","P.O. Box 354, Lynn, AL 35242",,Appalachia Southern,22218,19,11158,10.008658050141667
100627,2016,Flat Top Mine,Alabama,Jefferson,Active,Surface,Independent Producer Operator,Mine only,"Cedar Lake Mining, Inc","7802 Highway 78, Cordova, AL 35550",,Appalachia Southern,281668,46,126268,12.548484351387808
100851,2016,Oak Grove Mine,Alabama,Jefferson,Active,Underground,Operating Subsidiary,Mine only,Oak Grove Resources Llc,"8360 Taylors Ferry Rd, Hueytown, AL 35023",United Mine Workers Of America,Appalachia Southern,1474588,303,684137,14.203889186704494
101401,2016,No 7 Mine,Alabama,Jefferson,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,"Warrior Met Coal Mining, Llc","P.O. Box 133, Brookwood, AL 35444",United Mine Workers Of America,Appalachia Southern,3067565,539,1226066,14.936394645236751
103180,2016,Sloan Mountain Mine,Alabama,Jefferson,Active,Surface,Independent Producer Operator,Mine only,M S & R Equipment Company Inc,"7802 Highway 78, Cordova, AL 35550",,Appalachia Southern,234852,54,118453,12.36671080749297
103285,2016,Narley Mine,Alabama,Jefferson,Active,Surface,Operating Subsidiary,Mine only,Best Coal Inc,"7802 Highway 78, Parrish, AL 35550",,Appalachia Southern,108420,28,70544,11.593767852814329
103375,2016,Johnson Mine,Alabama,Jefferson,Temporarily closed,Surface,Independent Producer Operator,Mine only,Cahaba Resources Llc,"P.O. Box 122, Vance, AL 35490",,Appalachia Southern,5870,12,20722,8.677609912822142
103419,2016,Maxine-Pratt Mine,Alabama,Jefferson,Active,Underground,Independent Producer Operator,Mine only,Alaco L.L.C.,"218 Highway 195, Jasper, AL 35503",,Appalachia Southern,186784,36,89774,12.137708148003517
103432,2016,Skelton Creek,Alabama,Jefferson,Active,Surface,Independent Producer Operator,Mine only,"Southern Mineral Resources , L","17160 Lock 17 Rd, Brookwood, AL 35444",,Appalachia Southern,7412,1,869,8.91085558740525
